"date";"time";"sampling_day";"id_lizard";"site";"site_id";"lon";"lat";"plot_type";"plot_id";"veg_cov";"bare_soil_cov";"rock_crevices_cov";"rock_cov";"veg_0_15";"veg_15_30";"veg_30_45";"veg_45"
2020-10-16;"12:47";290;"M21";"Ventana";"Ventana_M21";NA;NA;1;"M21_C";30;0;7;63;95;5;0;0
2020-10-20;"12:30";294;"M5";"Funke";"Funke_M5";"-38,09058";"-62,07254";1;"M5_C";5;0;38;57;45;40;10;5
2020-10-20;"13:09";294;"H2";"Funke";"Funke_H2";"-38,09179";"-62,07289";1;"H2_C";5;0;9,5;85,5;20;40;10;30
2020-10-23;"11:20";297;"M23";"TPC";"TPC_M23";"-38,15834";"-61,95166";1;"M23_C";40;0;24;36;100;0;0;0
2020-10-23;"11:45";297;"M1";"TPC";"TPC_M1";"-38,15791";"-61,95214";1;"M1_C";40;0;18;42;95;5;0;0
2020-10-23;"13:44";297;"M4";"TPE";"TPE_M4";"-38,15719";"-61,95061";1;"M4_C";40;0;12;48;98;2;0;0
2020-10-23;"13:44";297;"H7";"TPE";"TPE_H7";"-38,15719";"-61,95061";1;"H7_C";30;0;28;42;70;20;5;5
2020-10-23;"14:33";297;"H8";"TPE";"TPE_H8";"-38,15766";"-61,9499";1;"H8_C";20;0;8;72;90;10;0;0
2020-10-24;"11:58";298;"M25";"Naposta";"Naposta_M25";"-38,13235";"-61,95918";1;"M25_C";20;0;24;56;85;10;5;0
2020-10-24;"13:50";298;"M26";"Naposta";"Naposta_M26";"-38134";"-61,95992";1;"M26_C";40;0;18;42;70;30;0;0
2020-10-28;"14:24";302;"M5";"Funke";"Funke_M5";"-38,09108";"-62,0726";1;"M5_C";20;0;20;60;25;50;20;5
2020-10-28;"14:25";302;"H4";"Funke";"Funke_H4";"-38,09102";"-62,07273";1;"H4_C";2;0;9,8;88,2;85;15;0;0
2020-10-28;"15:09";302;"M15";"Funke";"Funke_M15";"-38,09171";"-62,07271";1;"M15_C";1;0;14,85;84,15;100;0;0;0
2020-10-30;"15:04";304;"M28";"Ventana";"Ventana_M28";NA;NA;1;"M28_C";40;0;18;42;20;35;35;10
2020-12-02;"09:36";337;"M14";"Puntudo";"Puntudo_M14";"-38,12291";"-61,97789";1;"M14_C";30;0;17,5;52,5;20;50;30;0
2020-12-02;"09:45";337;"J8";"Puntudo";"Puntudo_J8";"-38,12285";"-61,97796";1;"J8_C";25;0;18,75;56,25;20;20;60;0
2020-12-02;"10:25";337;"H9";"Puntudo";"Puntudo_H9";"-38,12271";"-61,97794";1;"H9_C";25;0;18,75;56,25;10;20;30;40
2020-12-02;"11:00";337;"J7";"Puntudo";"Puntudo_J7";"-38,12275";"-61,97765";1;"J7_C";45;0;13,75;41,25;30;30;40;0
2020-12-02;"11:15";337;"H6";"Puntudo";"Puntudo_H6";"-38,12288";"-61,97773";1;"H6_C";35;0;26;39;0;0;40;60
2020-12-02;"14:35";337;"M29";"Puntudo";"Puntudo_M29";"-38,1231";"-61,97845";1;"M29_C";20;0;24;56;5;20;75;0
2020-12-06;"9:15";341;"H3";"Funke";"Funke_H3";"-38,09058";"-62,07249";1;"H3_C";5;0;23,75;71,25;100;0;0;0
2020-12-06;"9:50";341;"M5";"Funke";"Funke_M5";"-38,09024";"-62,07262";1;"M5_C";5;0;9,5;85,5;0;10;90;0
2020-12-06;"10:30";341;"H4";"Funke";"Funke_H4";"-38,9092";"-62,07248";1;"H4_C";5;0;28,5;66,5;0;70;30;0
2020-12-06;"11:30";341;"H2";"Funke";"Funke_H2";"-38,0917";"-62,07266";1;"H2_C";30;0;17,5;52,5;0;80;15;5
2020-12-06;"11:42";341;"J9";"Funke";"Funke_J9";"-38,09172";"-62,07277";1;"J9_C";30;0;7;63;10;60;25;5
2020-12-06;"12:10";341;"H1";"Funke";"Funke_H1";"-38,0909";"-62,0725";1;"H1_C";5;0;14,25;80,75;24;75;1;0
2020-12-06;"13:00";341;"M15";"Funke";"Funke_M15";"-38,09072";"-62,07242";1;"M15_C";25;0;15;60;5;0;25;70
2020-12-16;"15:55";351;"J9";"Funke";"Funke_J9";"-38,09035";"-62,07267";1;"J9_C";30;0;10,5;59,5;0;40;40;20
2020-12-16;"16:21";351;"H3";"Funke";"Funke_H3";"-38,09035";"-62,07267";1;"H3_C";5;0;14,25;80,75;5;0;70;25
2020-12-20;"11:13";355;"H4";"Funke";"Funke_H4";"-38,09089";"-62,07254";1;"H4_C";5;0;42,75;52,25;5;25;70;0
2020-12-20;"11:05";355;"H1";"Funke";"Funke_H1";"-38,09072";"-62,07299";1;"H1_C";10;0;45;45;5;70;25;0
2020-12-20;"12:07";355;"H2";"Funke";"Funke_H2";"-38,09164";"-62,07267";1;"H2_C";30;0;10,5;59,5;25;75;0;0
2020-12-20;"11:45";355;"H3";"Funke";"Funke_H3";"-38,09047";"-62,0726";1;"H3_C";5;0;23,75;71,25;0;85;15;0
2021-01-12;"12:00";12;"H1";"Funke";"Funke_H1";"-38,09058";"-62,0725";1;"H1_C";2;0;39,2;58,8;30;70;0;0
2021-01-12;"12:41";12;"H2";"Funke";"Funke_H2";"-38,09165";"-62,07269";1;"H2_C";30;0;28;42;40;30;25;5
2021-01-13;"9:54";13;"H10";"Puntudo";"Puntudo_H10";"-38,12297";"-61,97795";1;"H10_C";40;0;6;54;10;40;30;20
2021-01-13;"11:35";13;"M14";"Puntudo";"Puntudo_M14";"-38,12278";"-61,97755";1;"M14_C";30;0;21;49;5;30;40;25
2021-01-13;"11:50";13;"M13";"Puntudo";"Puntudo_M13";"-38,12283";"-61,97793";1;"M13_C";5;0;9,5;85,5;10;0;40;50
2021-01-13;"12:20";13;"H11";"Puntudo";"Puntudo_H11";"-38,12283";"-61,97742";1;"H11_C";30;0;7;63;40;25;30;5
2021-01-13;"13:10";13;"J8";"Puntudo";"Puntudo_J8";"-38,12288";"-61,97792";1;"J8_C";40;0;12;48;10;40;20;30
2021-01-13;"13:30";13;"M29";"Puntudo";"Puntudo_M29";"-38,12275";"-61,97815";1;"M29_C";15;0;17;68;10;20;60;10
2021-01-13;"14:35";13;"J7";"Puntudo";"Puntudo_J7";"-38,12284";"-61,97775";1;"J7_C";5;0;14,25;80,75;5;45;45;5
2021-01-23;"09:04";23;"H2";"Funke";"Funke_H2";"-38,09174";"-62,07288";1;"H2_C";10;0;4,5;85,5;95;5;0;0
2021-01-23;"09:30";23;"M5";"Funke";"Funke_M5";"-38,09174";"-62,07289";1;"M5_C";5;0;38;57;5;95;0;0
2021-01-23;"11:15";23;"H1";"Funke";"Funke_H1";"-38,09087";"-62,07228";1;"H1_C";40;0;12;48;5;15;30;50
2021-01-23;"12:21";23;"J9";"Funke";"Funke_J9";"-38,09172";"-62,07274";1;"J9_C";20;0;8;72;20;25;50;5
2021-01-27;"11:47";27;"M30";"TPS";"TPS_M30";"-38,16157";"-61,95383";1;"M30_C";5;0;23,75;71,25;25;25;50;0
2021-01-27;"12:47";27;"H12";"TPS";"TPS_H12";"-38,16151";"-61,9539";1;"H12_C";30;0;28;42;10;20;30;40
2021-01-28;"10:47";28;"M23";"TPC";"TPC_M23";"-38,15833";"-61,95184";1;"M23_C";40;0;9;51;40;60;0;0
2021-01-28;"11:10";28;"M31";"TPC";"TPC_M31";"-38,15876";"-61,95173";1;"M31_C";30;0;21;49;45;50;5;0
2021-01-28;"11:55";28;"M32";"TPE";"TPE_M32";"-38,15764";"-61,95041";1;"M32_C";50;0;10;40;40;25;30;5
2021-01-28;"11:54";28;"M4";"TPE";"TPE_M4";"-38,15739";"-61,9506";1;"M4_C";5;0;4,75;90,25;100;0;0;0
2021-01-28;"12:58";28;"M18";"TPE";"TPE_M18";"-38,15745";"-61,95006";1;"M18_C";60;0;8;32;90;10;0;0
2021-01-28;"13:10";28;"M33";"TPE";"TPE_M33";"-38,15752";"-61,95024";1;"M33_C";20;0;32;48;60;40;0;0
2021-01-28;"13:20";28;"M16";"TPE";"TPE_M16";"-38,1574";"-61,95031";1;"M16_C";10;0;18;72;85;5;5;5
2021-01-28;"14:10";28;"M17";"TPE";"TPE_M17";"-38,15781";"-61,94969";1;"M17_C";40;0;6;54;75;25;0;0
2021-02-05;"12:05";36;"H4";"Funke";"Funke_H4";"-38,09094";"-62,07249";1;"H4_C";5;0;28,5;66,5;5;5;80;10
2021-02-05;"12:25";36;"H2";"Funke";"Funke_H2";"-38,09174";"-62,07299";1;"H2_C";5;0;19;76;75;20;0;5
2021-02-05;"12:53";36;"M5";"Funke";"Funke_M5";"-38,09043";"-62,07264";1;"M5_C";10;0;18;72;5;60;25;10
2021-02-12;"10:00";43;"H1";"Funke";"Funke_H1";"-38,09055";"-62,07258";1;"H1_C";5;0;19;76;100;0;0;0
2021-02-12;"11:05";43;"H2";"Funke";"Funke_H2";"-38,09161";"-62,07273";1;"H2_C";30;0;7;63;40;60;0;0
2021-02-24;"10:20";55;"H10";"Puntudo";"Puntudo_H10";"-38,12294";"-61,97784";1;"H10_C";40;0;6;54;5;5;80;10
2021-02-24;"10:21";55;"M14";"Puntudo";"Puntudo_M14";"-38,12289";"-61,97792";1;"M14_C";20;0;16;64;0;10;25;65
2021-02-24;"11:15";55;"H6";"Puntudo";"Puntudo_H6";"-38,12285";"-61,97774";1;"H6_C";30;0;7;63;0;30;10;60
2021-02-24;"11:35";55;"H11";"Puntudo";"Puntudo_H11";"-38,12283";"-61,97756";1;"H11_C";10;0;9;81;5;5;70;20
2021-02-24;"12:00";55;"H9";"Puntudo";"Puntudo_H9";"-38,12279";"-61,97802";1;"H9_C";25;0;15;60;0;5;20;75
2021-02-24;"12:00";55;"M13";"Puntudo";"Puntudo_M13";"-38,12283";"-61,97756";1;"M13_C";25;0;7,5;67,5;0;15;15;70
2021-03-03;"11:05";62;"M1";"TPC";"TPC_M1";"-38,15762";"-61,95331";1;"M1_C";15;0;4,25;80,75;95;5;0;0
2021-03-03;"11:42";62;"M23";"TPC";"TPC_M23";"-38,1586";"-61,95175";1;"M23_C";25;0;7,5;67,5;95;5;0;0
2021-03-03;"12:37";62;"H7";"TPE";"TPE_H7";"-38,15742";"-61,95054";1;"H7_C";25;0;3,75;71,25;80;10;10;0
2021-03-03;"13:00";62;"M33";"TPE";"TPE_M33";"-38,15755";"-61,95029";1;"M33_C";30;0;14;56;70;25;5;0
2021-03-03;"15:10";62;"M34";"TPS";"TPS_M34";"-38,16158";"-61,95382";1;"M34_C";2;0;58,8;39,2;100;0;0;0
2021-03-03;"15:20";62;"M30";"TPS";"TPS_M30";"-38,1616";"-61,95382";1;"M30_C";20;0;24;56;40;30;30;0
2021-03-05;"11:29";64;"H4";"Funke";"Funke_H4";"-38,09085";"-62,07251";1;"H4_C";10;0;27;63;65;10;25;0
2021-03-05;"11:30";64;"H1";"Funke";"Funke_H1";"-38,09055";"-62,07255";1;"H1_C";15;0;21,25;63,75;85;10;5;0
2021-03-05;"12:37";64;"H2";"Funke";"Funke_H2";"-38,09163";"-62,07265";1;"H2_C";5;0;19;76;5;50;40;5
2021-03-05;"13:50";64;"M5";"Funke";"Funke_M5";"-38,09025";"-62,0727";1;"M5_C";60;0;2;38;0;10;60;30
2021-09-20;"14:30";263;"H2";"Funke";"Funke_H2";"-38,091737";"-62,07287";1;"H2_C";5;0;4,75;90,25;30;30;40;0
2021-09-20;"14:40";263;"H2";"Funke";"Funke_H2";NA;NA;0;"H2_R1";45;0;5,5;49,5;50;40;10;0
2021-09-20;"14:50";263;"H2";"Funke";"Funke_H2";NA;NA;0;"H2_R2";30;0;10,5;59,5;60;30;5;5
2021-09-20;"15:00";263;"H2";"Funke";"Funke_H2";NA;NA;0;"H2_R3";35;0;6,5;58,5;75;25;0;0
2021-09-20;"15:05";263;"H2";"Funke";"Funke_H2";NA;NA;0;"H2_R4";40;0;6;54;60;30;5;5
2021-09-20;"14:31";263;"M15";"Funke";"Funke_M15";"-38,091744";"-62,07287";1;"M15_C";5;0;4,75;90,25;25;35;40;0
2021-09-23;"12:12";266;"J7";"Puntudo";"Puntudo_J7";"-38,120426";"-61,976774";1;"J7_C";45;0;8,25;46,75;5;15;30;50
2021-09-23;"12:16";266;"J7";"Puntudo";"Puntudo_J7";NA;NA;0;"J7_R1";55;0;2,25;42,75;75;25;0;0
2021-09-23;"12:22";266;"J7";"Puntudo";"Puntudo_J7";NA;NA;0;"J7_R2";35;0;6,5;58,5;5;15;30;50
2021-09-23;"12:28";266;"J7";"Puntudo";"Puntudo_J7";NA;NA;0;"J7_R3";40;0;3;57;25;15;20;40
2021-09-23;"12:32";266;"J7";"Puntudo";"Puntudo_J7";NA;NA;0;"J7_R4";60;0;2;38;25;40;35;0
2021-09-23;"12:35";266;"M14";"Puntudo";"Puntudo_M14";"-38,122806";"-61,97776";1;"M14_C";50;0;10;40;50;25;25;0
2021-09-23;"12:40";266;"M14";"Puntudo";"Puntudo_M14";NA;NA;0;"M14_R1";20;0;16;64;50;40;10;0
2021-09-23;"12:45";266;"M14";"Puntudo";"Puntudo_M14";NA;NA;0;"M14_R2";25;15;3;57;25;30;15;30
2021-09-23;"12:52";266;"M14";"Puntudo";"Puntudo_M14";NA;NA;0;"M14_R3";60;0;0,4;39,6;5;15;30;50
2021-09-23;"13:00";266;"M14";"Puntudo";"Puntudo_M14";NA;NA;0;"M14_R4";30;0;2,1;67,9;35;35;25;5
2021-09-25;"11:35";268;"M5";"Funke";"Funke_M5";"-38,090236";"-62,072327";1;"M5_C";10;5;8,5;76,5;55;40;5;0
2021-09-25;"11:38";268;"M5";"Funke";"Funke_M5";"-38,090861";"-62,072631";0;"M5_R1";40;0;3;57;5;20;35;40
2021-09-25;"11:42";268;"M5";"Funke";"Funke_M5";"-38,090999";"-62,072371";0;"M5_R2";20;0;12;68;75;25;0;0
2021-09-25;"11:48";268;"M5";"Funke";"Funke_M5";"-38,090547";"-62,072521";0;"M5_R3";15;0;8,5;76,5;50;25;25;0
2021-09-25;"11:52";268;"M5";"Funke";"Funke_M5";"-38,090694";"-62,072228";0;"M5_R4";55;25;0;20;75;20;5;0
2021-09-25;"12:43";268;"J9";"Funke";"Funke_J9";"-38,091691";"-62,072933";1;"J9_C";35;0;6,5;58,5;30;20;35;15
2021-09-25;"12:46";268;"J9";"Funke";"Funke_J9";"-38,091519";"-62,07287";0;"J9_R1";40;10;2,5;47,5;20;30;40;10
2021-09-25;"12:52";268;"J9";"Funke";"Funke_J9";"-38,091961";"-62,072951";0;"J9_R2";30;30;2;38;60;25;15;0
2021-09-25;"12:58";268;"J9";"Funke";"Funke_J9";"-38,09168";"-62,073091";0;"J9_R3";30;20;2,5;47,5;20;30;25;25
2021-09-25;"13:02";268;"J9";"Funke";"Funke_J9";"-38,091751";"-62,072676";0;"J9_R4";35;5;6;54;20;35;25;20
2021-09-25;"13:05";268;"H4";"Funke";"Funke_H4";"-38,091031";"-62,072709";1;"H4_C";40;0;6;54;20;20;20;40
2021-09-25;"13:10";268;"H4";"Funke";"Funke_H4";"-38,091039";"-62,072914";0;"H4_R1";25;0;1,5;73,5;5;70;25;0
2021-09-25;"13:16";268;"H4";"Funke";"Funke_H4";"-38,09098";"-62,072446";0;"H4_R2";25;0;1,5;73,5;70;25;5;0
2021-09-25;"13:22";268;"H4";"Funke";"Funke_H4";"-38,090805";"-62,072769";0;"H4_R3";20;0;0,8;79,2;35;60;5;0
2021-09-25;"13:30";268;"H4";"Funke";"Funke_H4";"-38,091276";"-62,07261";0;"H4_R4";10;5;0;85;50;25;25;0
2021-10-10;"11:13";283;"M5";"Funke";"Funke_M5";"-38,090751";"-62,072415";1;"M5_C";5;0;28,5;66,5;25;60;15;0
2021-10-10;"11:20";283;"M5";"Funke";"Funke_M5";"-38,090843";"-62,072622";0;"M5_R1";45;5;1;49;5;15;30;50
2021-10-10;"11:27";283;"M5";"Funke";"Funke_M5";"-38,090504";"-62,07256";0;"M5_R2";20;0;4;76;25;40;30;5
2021-10-10;"11:32";283;"M5";"Funke";"Funke_M5";"-38,091009";"-62,072336";0;"M5_R3";10;0;0;90;14;60;25;1
2021-10-10;"11:37";283;"M5";"Funke";"Funke_M5";"-38,090765";"-62,072316";0;"M5_R4";60;5;0;35;75;25;0;0
2021-10-10;"12:32";283;"M15";"Funke";"Funke_M15";"-38,091646";"-62,072752";1;"M15_C";30;10;3;57;60;40;0;0
2021-10-10;"12:40";283;"M15";"Funke";"Funke_M15";"-38,091861";"-62,072856";0;"M15_R1";20;10;0,7;69,3;75;25;0;0
2021-10-10;"12:47";283;"M15";"Funke";"Funke_M15";"-38,091459";"-62,072806";0;"M15_R2";45;0;0,55;54,45;85;15;0;0
2021-10-10;"12:52";283;"M15";"Funke";"Funke_M15";"-38,091659";"-62,072964";0;"M15_R3";10;5;0,85;84,15;70;15;15;0
2021-10-10;"12:56";283;"M15";"Funke";"Funke_M15";"-38,091623";"-62,07256";0;"M15_R4";40;0;0,6;59,4;70;25;5;0
2021-10-10;"12:58";283;"H4";"Funke";"Funke_H4";"-38,091044";"-62,072681";1;"H4_C";20;0;4;76;15;15;35;35
2021-10-10;"13:05";283;"H4";"Funke";"Funke_H4";"-38,091027";"-62,072753";0;"H4_R1";5;0;9,5;85,5;70;25;0;5
2021-10-10;"13:15";283;"H4";"Funke";"Funke_H4";"-38,091015";"-62,072413";0;"H4_R2";5;0;9,5;85,5;45;55;0;0
2021-10-10;"13:25";283;"H4";"Funke";"Funke_H4";"-38,09085";"-62,072738";0;"H4_R3";30;0;1,4;68,6;10;35;25;30
2021-10-10;"13:32";283;"H4";"Funke";"Funke_H4";"-38,091325";"-62,072558";0;"H4_R4";5;30;0;65;90;5;5;0
2021-10-10;"14:30";283;"H2";"Funke";"Funke_H2";"-38,091761";"-62,072884";1;"H2_C";5;5;4,5;85,5;100;0;0;0
2021-10-10;"14:37";283;"H2";"Funke";"Funke_H2";"-38,091645";"-62,0728";0;"H2_R1";40;10;0;50;10;25;25;40
2021-10-10;"14:42";283;"H2";"Funke";"Funke_H2";"-38,091662";"-62,07268";0;"H2_R2";15;5;4;76;20;30;20;30
2021-10-10;"14:48";283;"H2";"Funke";"Funke_H2";"-38,091973";"-62073";0;"H2_R3";5;50;0;45;95;5;0;0
2021-10-10;"14:53";283;"H2";"Funke";"Funke_H2";"-38,091551";"-62,072911";0;"H2_R4";35;0;0,65;64,35;25;45;30;0
2021-10-10;"15:13";283;"J9";"Funke";"Funke_J9";"-38,091667";"-62,072724";1;"J9_C";20;10;7;63;10;20;40;30
2021-10-10;"15:21";283;"J9";"Funke";"Funke_J9";"-38,09136";"-62,072858";0;"J9_R1";5;2;0,93;92,07;75;25;0;0
2021-10-10;"15:29";283;"J9";"Funke";"Funke_J9";"-38,091845";"-62,072851";0;"J9_R2";10;20;0;70;75;25;0;0
2021-10-10;"15:36";283;"J9";"Funke";"Funke_J9";"-38,09151";"-62,072514";0;"J9_R3";5;10;1,7;83,3;70;25;5;0
2021-10-10;"15:41";283;"J9";"Funke";"Funke_J9";"-38,091682";"-62,073038";0;"J9_R4";40;20;0;40;5;15;30;50
2021-10-19;"11:48";292;"H13";"TPC";"TPC_H13";"-38,158765";"-61,951414";1;"H13_C";50;10;2;38;95;5;0;0
2021-10-19;"11:53";292;"H13";"TPC";"TPC_H13";"-38,158954";"-60,1951382";0;"H13_R1";65;0;0;35;85;15;0;0
2021-10-19;"12:02";292;"H13";"TPC";"TPC_H13";"-38,158486";"-61,951482";0;"H13_R2";90;0;0;10;80;20;0;0
2021-10-19;"12:10";292;"H13";"TPC";"TPC_H13";"-38,158843";"-61,951692";0;"H13_R3";65;0;0,7;34,3;55;35;10;0
2021-10-19;"12:18";292;"H13";"TPC";"TPC_H13";"-38,158903";"-61,951318";0;"H13_R4";45;0;5,5;49,5;90;10;0;0
2021-10-19;"13:23";292;"M4";"TPE";"TPE_M4";"-38,15725";"-61,950549";1;"M4_C";45;0;8,25;46,75;75;25;0;0
2021-10-19;"13:30";292;"M4";"TPE";"TPE_M4";NA;NA;0;"M4_R1";30;0;3,5;66,5;60;40;0;0
2021-10-19;"13:38";292;"M4";"TPE";"TPE_M4";NA;NA;0;"M4_R2";60;0;2;38;50;25;15;10
2021-10-19;"13:44";292;"M4";"TPE";"TPE_M4";NA;NA;0;"M4_R3";30;0;3,5;66,5;95;5;0;0
2021-10-19;"13:53";292;"M4";"TPE";"TPE_M4";NA;NA;0;"M4_R4";30;5;3,25;61,75;95;5;0;0
2021-10-19;"14:11";292;"M33";"TPE";"TPE_M33";"-38,15745";"-61,950474";1;"M33_C";10;0;18;72;5;10;45;40
2021-10-19;"14:19";292;"M33";"TPE";"TPE_M33";NA;NA;0;"M33_R1";25;20;1,1;53,9;95;5;0;0
2021-10-19;"14:25";292;"M33";"TPE";"TPE_M33";NA;NA;0;"M33_R2";15;0;4,25;80,75;90;10;0;0
2021-10-19;"14:32";292;"M33";"TPE";"TPE_M33";NA;NA;0;"M33_R3";35;0;3,25;61,75;50;30;15;5
2021-10-19;"14:40";292;"M33";"TPE";"TPE_M33";NA;NA;0;"M33_R4";20;0;20;60;50;40;10;0
2021-10-19;"14:41";292;"M35";"TPE";"TPE_M35";"-38,157834";"-61,949674";1;"M35_C";30;0;3,5;66,5;95;5;0;0
2021-10-19;"14:48";292;"M35";"TPE";"TPE_M35";"-38,157896";"-61,949892";0;"M35_R1";40;0;0;60;100;0;0;0
2021-10-19;"14:53";292;"M35";"TPE";"TPE_M35";"-38,157659";"-61,949443";0;"M35_R2";70;0;0;30;95;5;0;0
2021-10-19;"15:00";292;"M35";"TPE";"TPE_M35";"-38,157574";"-61,949771";0;"M35_R3";40;0;0,6;59,4;95;5;0;0
2021-10-19;"15:09";292;"M35";"TPE";"TPE_M35";"-38,157525";"-61,950514";0;"M35_R4";40;5;2,75;52,25;90;10;0;0
2021-10-19;"14:50";292;"H7";"TPE";"TPE_H7";"-38,157279";"-61,950668";1;"H7_C";20;0;16;64;95;5;0;0
2021-10-19;"15:14";292;"H7";"TPE";"TPE_H7";NA;NA;0;"H7_R1";55;0;0,9;44,1;10;25;35;30
2021-10-19;"15:20";292;"H7";"TPE";"TPE_H7";NA;NA;0;"H7_R2";60;0;0,8;39,2;75;25;0;0
2021-10-19;"15:27";292;"H7";"TPE";"TPE_H7";NA;NA;0;"H7_R3";20;10;0,7;69,3;95;0;5;0
2021-10-19;"15:32";292;"H7";"TPE";"TPE_H7";NA;NA;0;"H7_R4";75;0;0;25;80;20;0;0
2021-10-19;"15:59";292;"M32";"TPE";"TPE_M32";"-38,157525";"-61,950514";1;"M32_C";10;0;18;72;5;10;45;40
2021-10-19;"16:06";292;"M32";"TPE";"TPE_M32";NA;NA;0;"M32_R1";25;20;1,1;53,9;95;5;0;0
